"file","replicate","experiment","fraction"
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-F05_F5_01_6100.d","rep2","F05",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-F05_F5_01_6226.d","rep2","F05",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-F06_F6_01_6227.d","rep2","F06",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-F07_F7_01_6228.d","rep2","F07",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-F08_F8_01_6230.d","rep2","F08",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-F09_F9_01_6233.d","rep2","F09",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-F10_F10_01_6105.d","rep2","F01",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-F10_F10_01_6272.d","rep2","F01",3
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-F11_F11_01_6168.d","rep2","F11",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-D12-170501-I_D12_01_6075.d","rep3","D12",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-E01-170501-I_E1_01_6076.d","rep3","E01",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-E02-170501-I_E2_01_6078.d","rep3","E02",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-E03-170501-I_E3_01_6079.d","rep3","E03",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-E04-170501-I_E4_01_6083.d","rep3","E04",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-E05-170501-I_E5_01_6084.d","rep3","E05",1
