"replicate","experiment","fraction","file"
"BN1","fraction43",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction43.raw"
"BN1","fraction44",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction44.raw"
"BN1","fraction45",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction45.raw"
"BN1","fraction46",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction46.raw"
"BN1","fraction47",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction47.raw"
"BN1","fraction48",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction48.raw"
"BN1","fraction49",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction49.raw"
"BN1","fraction50",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction50_130905193700.raw"
"BN1","fraction50",2,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction50.raw"
"SEC2","fraction47",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fracti0n47_repeat.raw"
"SEC2","fraction01",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction01.raw"
"SEC2","fraction02",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction02.raw"
"SEC2","fraction03",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction03.raw"
"SEC2","fraction04",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction04.raw"
"SEC2","fraction05",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction05.raw"
"SEC2","fraction06",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction06.raw"
"SEC2","fraction07",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction07.raw"
