"file","species","detergent","replicate","experiment","fraction"
"OT25cm_CH13_FalC_zero-17.raw","Pf","0","CH13","17",1
"OT25cm_CH13_FalC_zero-18.raw","Pf","0","CH13","18",1
"OT25cm_CH13_FalC_zero-19.raw","Pf","0","CH13","19",1
"OT25cm_CH13_FalC_zero-20.raw","Pf","0","CH13","20",1
"OT25cm_CH13_FalC_zero-21.raw","Pf","0","CH13","21",1
"OT25cm_CH13_FalC_zero-22.raw","Pf","0","CH13","22",1
"OT25cm_CH13_FalC_zero-23.raw","Pf","0","CH13","23",1
"OT25cm_CH13_FalC_zero-24.raw","Pf","0","CH13","24",1
"OT25cm_CH13_FalC_zero-25.raw","Pf","0","CH13","25",1
"OT25cm_CH13_FalC_zero-26.raw","Pf","0","CH13","26",1
"OT25cm_CH13_FalC_zero-27.raw","Pf","0","CH13","27",1
"OT25cm_CH13_FalC_zero-28.raw","Pf","0","CH13","28",1
"OT25cm_CH13_FalC_zero-29.raw","Pf","0","CH13","29",1
"OT25cm_CH13_FalC_zero-30.raw","Pf","0","CH13","30",1
"OT25cm_CH13_FalC_zero-31.raw","Pf","0","CH13","31",1
"OT25cm_CH13_FalC_zero-32.raw","Pf","0","CH13","32",1
"OT25cm_CH13_FalC_zero-33.raw","Pf","0","CH13","33",1
"OT25cm_CH13_FalC_zero-34.raw","Pf","0","CH13","34",1
"OT25cm_CH13_FalC_zero-35.raw","Pf","0","CH13","35",1
"OT25cm_CH13_FalC_zero-36.raw","Pf","0","CH13","36",1
"OT25cm_CH13_FalC_zero-37.raw","Pf","0","CH13","37",1
"OT25cm_CH13_FalC_zero-38.raw","Pf","0","CH13","38",1
"OT25cm_CH13_FalC_zero-39.raw","Pf","0","CH13","39",1
"OT25cm_CH13_FalC_zero-40.raw","Pf","0","CH13","40",1
"OT25cm_CH13_FalC_zero-41.raw","Pf","0","CH13","41",1
"OT25cm_CH13_FalC_zero-42.raw","Pf","0","CH13","42",1
"OT25cm_CH13_FalC_zero-43.raw","Pf","0","CH13","43",1
"OT25cm_CH13_FalC_zero-44.raw","Pf","0","CH13","44",1
"OT25cm_CH13_FalC_zero-45.raw","Pf","0","CH13","45",1
"OT25cm_CH13_FalC_zero-46.raw","Pf","0","CH13","46",1
"OT25cm_CH13_FalC_zero-47.raw","Pf","0","CH13","47",1
"OT25cm_CH13_FalC_zero-48.raw","Pf","0","CH13","48",1
"OT25cm_CH14_Falc_Point-01.raw","Pf","0.1","CH14","01",1
"OT25cm_CH14_Falc_Point-02.raw","Pf","0.1","CH14","02",1
"OT25cm_CH14_Falc_Point-03.raw","Pf","0.1","CH14","03",1
"OT25cm_CH14_Falc_Point-04.raw","Pf","0.1","CH14","04",1
"OT25cm_CH14_Falc_Point-05.raw","Pf","0.1","CH14","05",1
"OT25cm_CH14_Falc_Point-06.raw","Pf","0.1","CH14","06",1
"OT25cm_CH14_Falc_Point-07.raw","Pf","0.1","CH14","07",1
"OT25cm_CH14_Falc_Point-08.raw","Pf","0.1","CH14","08",1
"OT25cm_CH14_Falc_Point-09.raw","Pf","0.1","CH14","09",1
"OT25cm_CH14_Falc_Point-10.raw","Pf","0.1","CH14","10",1
"OT25cm_CH14_Falc_Point-11.raw","Pf","0.1","CH14","11",1
"OT25cm_CH14_Falc_Point-12.raw","Pf","0.1","CH14","12",1
"OT25cm_CH14_Falc_Point-13.raw","Pf","0.1","CH14","13",1
"OT25cm_CH14_Falc_Point-14.raw","Pf","0.1","CH14","14",1
"OT25cm_CH14_Falc_Point-15.raw","Pf","0.1","CH14","15",1
"OT25cm_CH14_Falc_Point-16.raw","Pf","0.1","CH14","16",1
"OT25cm_CH14_Falc_Point-17.raw","Pf","0.1","CH14","17",1
"OT25cm_CH14_Falc_Point-18.raw","Pf","0.1","CH14","18",1
"OT25cm_CH14_Falc_Point-19.raw","Pf","0.1","CH14","19",1
"OT25cm_CH14_Falc_Point-20.raw","Pf","0.1","CH14","20",1
"OT25cm_CH14_Falc_Point-21.raw","Pf","0.1","CH14","21",1
"OT25cm_CH14_Falc_Point-22.raw","Pf","0.1","CH14","22",1
"OT25cm_CH14_Falc_Point-23.raw","Pf","0.1","CH14","23",1
"OT25cm_CH14_Falc_Point-24.raw","Pf","0.1","CH14","24",1
"OT25cm_CH14_Falc_Point-25.raw","Pf","0.1","CH14","25",1
"OT25cm_CH14_Falc_Point-26.raw","Pf","0.1","CH14","26",1
"OT25cm_CH14_Falc_Point-27.raw","Pf","0.1","CH14","27",1
"OT25cm_CH14_Falc_Point-28.raw","Pf","0.1","CH14","28",1
"OT25cm_CH14_Falc_Point-29.raw","Pf","0.1","CH14","29",1
"OT25cm_CH14_Falc_Point-30.raw","Pf","0.1","CH14","30",1
"OT25cm_CH14_Falc_Point-31.raw","Pf","0.1","CH14","31",1
"OT25cm_CH14_Falc_Point-32.raw","Pf","0.1","CH14","32",1
"OT25cm_CH14_Falc_Point-33.raw","Pf","0.1","CH14","33",1
"OT25cm_CH14_Falc_Point-34.raw","Pf","0.1","CH14","34",1
"OT25cm_CH14_Falc_Point-35.raw","Pf","0.1","CH14","35",1
"OT25cm_CH14_Falc_Point-36.raw","Pf","0.1","CH14","36",1
"OT25cm_CH14_Falc_Point-37.raw","Pf","0.1","CH14","37",1
"OT25cm_CH14_Falc_Point-38.raw","Pf","0.1","CH14","38",1
"OT25cm_CH14_Falc_Point-39.raw","Pf","0.1","CH14","39",1
"OT25cm_CH14_Falc_Point-40.raw","Pf","0.1","CH14","40",1
"OT25cm_CH14_Falc_Point-41.raw","Pf","0.1","CH14","41",1
"OT25cm_CH14_Falc_Point-42.raw","Pf","0.1","CH14","42",1
"OT25cm_CH14_Falc_Point-43.raw","Pf","0.1","CH14","43",1
"OT25cm_CH14_Falc_Point-44.raw","Pf","0.1","CH14","44",1
"OT25cm_CH14_Falc_Point-45.raw","Pf","0.1","CH14","45",1
"OT25cm_CH14_Falc_Point-46.raw","Pf","0.1","CH14","46",1
"OT25cm_CH14_Falc_Point-47.raw","Pf","0.1","CH14","47",1
"OT25cm_CH14_Falc_Point-48.raw","Pf","0.1","CH14","48",1
"OT25cm_CH15_Falc_One-01.raw","Pf","1","CH15","01",1
"OT25cm_CH15_Falc_One-02.raw","Pf","1","CH15","02",1
"OT25cm_CH15_Falc_One-03.raw","Pf","1","CH15","03",1
"OT25cm_CH15_Falc_One-04.raw","Pf","1","CH15","04",1
"OT25cm_CH15_Falc_One-05.raw","Pf","1","CH15","05",1
"OT25cm_CH15_Falc_One-06.raw","Pf","1","CH15","06",1
"OT25cm_CH15_Falc_One-07.raw","Pf","1","CH15","07",1
"OT25cm_CH15_Falc_One-08.raw","Pf","1","CH15","08",1
"OT25cm_CH15_Falc_One-09.raw","Pf","1","CH15","09",1
"OT25cm_CH15_Falc_One-10.raw","Pf","1","CH15","10",1
"OT25cm_CH15_Falc_One-11.raw","Pf","1","CH15","11",1
"OT25cm_CH15_Falc_One-12.raw","Pf","1","CH15","12",1
"OT25cm_CH15_Falc_One-13.raw","Pf","1","CH15","13",1
"OT25cm_CH15_Falc_One-14.raw","Pf","1","CH15","14",1
"OT25cm_CH15_Falc_One-15.raw","Pf","1","CH15","15",1
"OT25cm_CH15_Falc_One-16.raw","Pf","1","CH15","16",1
"OT25cm_CH15_Falc_One-17.raw","Pf","1","CH15","17",1
"OT25cm_CH15_Falc_One-18.raw","Pf","1","CH15","18",1
"OT25cm_CH15_Falc_One-19.raw","Pf","1","CH15","19",1
"OT25cm_CH15_Falc_One-20.raw","Pf","1","CH15","20",1
"OT25cm_CH15_Falc_One-21.raw","Pf","1","CH15","21",1
"OT25cm_CH15_Falc_One-22.raw","Pf","1","CH15","22",1
"OT25cm_CH15_Falc_One-23.raw","Pf","1","CH15","23",1
"OT25cm_CH15_Falc_One-24.raw","Pf","1","CH15","24",1
"OT25cm_CH15_Falc_One-25.raw","Pf","1","CH15","25",1
"OT25cm_CH15_Falc_One-26.raw","Pf","1","CH15","26",1
"OT25cm_CH15_Falc_One-27.raw","Pf","1","CH15","27",1
"OT25cm_CH15_Falc_One-28.raw","Pf","1","CH15","28",1
"OT25cm_CH15_Falc_One-29.raw","Pf","1","CH15","29",1
"OT25cm_CH15_Falc_One-30.raw","Pf","1","CH15","30",1
"OT25cm_CH15_Falc_One-31.raw","Pf","1","CH15","31",1
"OT25cm_CH15_Falc_One-32.raw","Pf","1","CH15","32",1
"OT25cm_CH15_Falc_One-33.raw","Pf","1","CH15","33",1
"OT25cm_CH15_Falc_One-34.raw","Pf","1","CH15","34",1
"OT25cm_CH15_Falc_One-35.raw","Pf","1","CH15","35",1
"OT25cm_CH15_Falc_One-36.raw","Pf","1","CH15","36",1
"OT25cm_CH15_Falc_One-37.raw","Pf","1","CH15","37",1
"OT25cm_CH15_Falc_One-38.raw","Pf","1","CH15","38",1
"OT25cm_CH15_Falc_One-39.raw","Pf","1","CH15","39",1
"OT25cm_CH15_Falc_One-40.raw","Pf","1","CH15","40",1
"OT25cm_CH15_Falc_One-41.raw","Pf","1","CH15","41",1
"OT25cm_CH15_Falc_One-42.raw","Pf","1","CH15","42",1
"OT25cm_CH15_Falc_One-43.raw","Pf","1","CH15","43",1
"OT25cm_CH15_Falc_One-44.raw","Pf","1","CH15","44",1
"OT25cm_CH15_Falc_One-45.raw","Pf","1","CH15","45",1
"OT25cm_CH15_Falc_One-46.raw","Pf","1","CH15","46",1
"OT25cm_CH15_Falc_One-47.raw","Pf","1","CH15","47",1
"OT25cm_CH15_Falc_One-48.raw","Pf","1","CH15","48",1
"OT25cm_CH16_KNOW_Zero-01R.raw","Pk","0","CH16","01",1
"OT25cm_CH16_KNOW_Zero-02R.raw","Pk","0","CH16","02",1
"OT25cm_CH16_KNOW_Zero-03R.raw","Pk","0","CH16","03",1
"OT25cm_CH16_KNOW_Zero-04R.raw","Pk","0","CH16","04",1
"OT25cm_CH16_KNOW_Zero-05R.raw","Pk","0","CH16","05",1
"OT25cm_CH16_KNOW_Zero-06R.raw","Pk","0","CH16","06",1
"OT25cm_CH16_KNOW_Zero-07R.raw","Pk","0","CH16","07",1
"OT25cm_CH16_KNOW_Zero-08R.raw","Pk","0","CH16","08",1
"OT25cm_CH16_KNOW_Zero-09R.raw","Pk","0","CH16","09",1
"OT25cm_CH16_KNOW_Zero-10R.raw","Pk","0","CH16","10",1
"OT25cm_CH16_KNOW_Zero-11R.raw","Pk","0","CH16","11",1
"OT25cm_CH16_KNOW_Zero-12R.raw","Pk","0","CH16","12",1
"OT25cm_CH16_KNOW_Zero-12X.raw","Pk","0","CH16","12",2
"OT25cm_CH16_KNOW_Zero-13R.raw","Pk","0","CH16","13",1
"OT25cm_CH16_KNOW_Zero-14R.raw","Pk","0","CH16","14",1
"OT25cm_CH16_KNOW_Zero-15R.raw","Pk","0","CH16","15",1
"OT25cm_CH16_KNOW_Zero-16R.raw","Pk","0","CH16","16",1
"OT25cm_CH16_KNOW_Zero-17R.raw","Pk","0","CH16","17",1
"OT25cm_CH16_KNOW_Zero-18R.raw","Pk","0","CH16","18",1
"OT25cm_CH16_KNOW_Zero-19R.raw","Pk","0","CH16","19",1
"OT25cm_CH16_KNOW_Zero-20R.raw","Pk","0","CH16","20",1
"OT25cm_CH16_KNOW_Zero-21R.raw","Pk","0","CH16","21",1
"OT25cm_CH16_KNOW_Zero-22R.raw","Pk","0","CH16","22",1
"OT25cm_CH16_KNOW_Zero-23R.raw","Pk","0","CH16","23",1
"OT25cm_CH16_KNOW_Zero-24R.raw","Pk","0","CH16","24",1
"OT25cm_CH16_KNOW_Zero-25R.raw","Pk","0","CH16","25",1
"OT25cm_CH16_KNOW_Zero-26R.raw","Pk","0","CH16","26",1
"OT25cm_CH16_KNOW_Zero-27R.raw","Pk","0","CH16","27",1
"OT25cm_CH16_KNOW_Zero-28R.raw","Pk","0","CH16","28",1
"OT25cm_CH16_KNOW_Zero-29.raw","Pk","0","CH16","29",1
"OT25cm_CH16_KNOW_Zero-30.raw","Pk","0","CH16","30",1
"OT25cm_CH16_KNOW_Zero-31.raw","Pk","0","CH16","31",1
"OT25cm_CH16_KNOW_Zero-32.raw","Pk","0","CH16","32",1
"OT25cm_CH16_KNOW_Zero-33.raw","Pk","0","CH16","33",1
"OT25cm_CH16_KNOW_Zero-34.raw","Pk","0","CH16","34",1
"OT25cm_CH16_KNOW_Zero-35.raw","Pk","0","CH16","35",1
"OT25cm_CH16_KNOW_Zero-36.raw","Pk","0","CH16","36",1
"OT25cm_CH16_KNOW_Zero-37.raw","Pk","0","CH16","37",1
"OT25cm_CH16_KNOW_Zero-38.raw","Pk","0","CH16","38",1
"OT25cm_CH16_KNOW_Zero-39.raw","Pk","0","CH16","39",1
"OT25cm_CH16_KNOW_Zero-40.raw","Pk","0","CH16","40",1
"OT25cm_CH16_KNOW_Zero-41.raw","Pk","0","CH16","41",1
"OT25cm_CH16_KNOW_Zero-42.raw","Pk","0","CH16","42",1
"OT25cm_CH16_KNOW_Zero-43.raw","Pk","0","CH16","43",1
"OT25cm_CH16_KNOW_Zero-44.raw","Pk","0","CH16","44",1
"OT25cm_CH16_KNOW_Zero-45.raw","Pk","0","CH16","45",1
"OT25cm_CH16_KNOW_Zero-46.raw","Pk","0","CH16","46",1
"OT25cm_CH16_KNOW_Zero-47.raw","Pk","0","CH16","47",1
"OT25cm_CH16_KNOW_Zero-48.raw","Pk","0","CH16","48",1
"OT25cm_CH17_KNOW_Point-01.raw","Pk","0.1","CH17","01",1
"OT25cm_CH17_KNOW_Point-02.raw","Pk","0.1","CH17","02",1
"OT25cm_CH17_KNOW_Point-03.raw","Pk","0.1","CH17","03",1
"OT25cm_CH17_KNOW_Point-04.raw","Pk","0.1","CH17","04",1
"OT25cm_CH17_KNOW_Point-05.raw","Pk","0.1","CH17","05",1
"OT25cm_CH17_KNOW_Point-06.raw","Pk","0.1","CH17","06",1
"OT25cm_CH17_KNOW_Point-07.raw","Pk","0.1","CH17","07",1
"OT25cm_CH17_KNOW_Point-08.raw","Pk","0.1","CH17","08",1
"OT25cm_CH17_KNOW_Point-09.raw","Pk","0.1","CH17","09",1
"OT25cm_CH17_KNOW_Point-10.raw","Pk","0.1","CH17","10",1
"OT25cm_CH17_KNOW_Point-11.raw","Pk","0.1","CH17","11",1
"OT25cm_CH17_KNOW_Point-12.raw","Pk","0.1","CH17","12",1
"OT25cm_CH17_KNOW_Point-13.raw","Pk","0.1","CH17","13",1
"OT25cm_CH17_KNOW_Point-14.raw","Pk","0.1","CH17","14",1
"OT25cm_CH17_KNOW_Point-15.raw","Pk","0.1","CH17","15",1
"OT25cm_CH17_KNOW_Point-16.raw","Pk","0.1","CH17","16",1
"OT25cm_CH17_KNOW_Point-17.raw","Pk","0.1","CH17","17",1
"OT25cm_CH17_KNOW_Point-18.raw","Pk","0.1","CH17","18",1
"OT25cm_CH17_KNOW_Point-19.raw","Pk","0.1","CH17","19",1
"OT25cm_CH17_KNOW_Point-20.raw","Pk","0.1","CH17","20",1
"OT25cm_CH17_KNOW_Point-21.raw","Pk","0.1","CH17","21",1
"OT25cm_CH17_KNOW_Point-22.raw","Pk","0.1","CH17","22",1
"OT25cm_CH17_KNOW_Point-23.raw","Pk","0.1","CH17","23",1
"OT25cm_CH17_KNOW_Point-24.raw","Pk","0.1","CH17","24",1
"OT25cm_CH17_KNOW_Point-25.raw","Pk","0.1","CH17","25",1
"OT25cm_CH17_KNOW_Point-26.raw","Pk","0.1","CH17","26",1
"OT25cm_CH17_KNOW_Point-27.raw","Pk","0.1","CH17","27",1
"OT25cm_CH17_KNOW_Point-28.raw","Pk","0.1","CH17","28",1
